raw_word,is_promoted,type_unsmile
쪼갈,False,A
쪼개지마,False,A
쪼까,False,A
쪼다,False,A
쪽빠리,False,A
쫍밥,False,A
쬬개,False,A
쬬까,False,A
쭈둥아리,False,A
쮜랄,False,A
찌랄,False,A
찐따,False,A
찢어죽일년,False,A
찢어죽일놈,False,A
창녀,False,A
창년,False,A
창놈,False,A
창뇨,False,A
창뇬,False,A
처먹어,False,A
처박다,False,A
처죽일년,False,A
처죽일놈,False,A
쳐먹어,False,A
쳐쑤셔박어,False,A
쳐죽인다,False,A
쳐죽일것,False,A
쳐죽일년,False,A
쳐죽일놈,False,A
쳤같다,False,A
촌나시펄,False,A
촌씨브라리,False,A
촌씨브랑이,False,A
촌씨브랭이,False,A
촹뇬,False,A
춎마라라,False,A
춎이다,False,A
츠발,False,A
친넘,False,A
캐새끼,False,A
캐쉐리,False,A
캐쉑끼,False,A
컴색,False,A
컴세엑,False,A
컴섹,False,A
컴쌕,False,A
컴쎅,False,A
튀껍냐,False,A
티껍,False,A
티껍냐,False,A
티꼽냐,False,A
티발,False,A
티이발,False,A
패니스,False,A
패티쉬,False,A
펀섹,False,A
펔규,False,A
펔뀨,False,A
펔유,False,A
펔큐,False,A
페니스,False,A
폐니스,False,A
폐티걸,False,A
폐티쉬,False,A
폐티시,False,A
포르노,False,A
포온섹,False,A
폰색,False,A
폰섹,False,A
폰쎅,False,A
핥,False,A
핥아,False,A
함주까,False,A
허뎝,False,A
허버리년,False,A
호구,False,A
호구쉐끼,False,A
호냥년,False,A
호러세귀,False,A
호빠,False,A
호양년,False,A
화냥년,False,A
화냥뇬,False,A
후라덜넘,False,A
후라들년,False,A
후래자식,False,A
후뢰자식,False,A
후리지마,False,A
후릴년,False,A
후좡,False,A
뵨태,False,A
가슴만져,False,A
거시기,False,A
년,False,A
놈,False,A
발기,False,A
버지,False,A
보랄,False,A
보럴,False,A
뽀쥐,False,A
색남,False,A
색수,False,A
거기나빨아랑,False,A
씨방,False,A
씨방아,False,A
씹다,False,A
아씨팔젖같네,False,A
에미,False,A
쥐엠,False,A
지엠,False,A
창남,False,A
혀로보지핧기,False,A
혀로보지핱기,False,A
후다,False,A
후장,False,A
10새,False,A
10색,False,A
10섹,False,A
10쉑,False,A
10알,False,A
10창,False,A
10챵,False,A
10팍,False,A
10팔,False,A
10펄,False,A
10할,False,A
18넘,False,A
18년,False,A
18놈,False,A
18뇬,False,A
18늠,False,A
18새,False,A
18새끼,False,A
18색,False,A
18색끼,False,A
18세끼,False,A
18쉐키,False,A
1o새,False,A
1o새끼,False,A
1o세끼,False,A
4까시,False,A
c발,False,A
c부랄,False,A
c팔,False,A
g랄,False,A
ho로쉐끼,False,A
ji랄,False,A
si팔,False,A
개가튼,False,A
개갈보,False,A
개같은,False,A
개넘,False,A
개논,False,A
개뇬,False,A
개뇽,False,A
개눔,False,A
개늠,False,A
개늠아,False,A
개뵹신,False,A
개불랄,False,A
개불알,False,A
개붕알,False,A
개새,False,A
개색,False,A
개생퀴,False,A
개샠,False,A
개샤끼,False,A
개세,False,A
개세이,False,A
개섹,False,A
개쇄,False,A
개쇅,False,A
개쉐,False,A
개쉑,False,A
개쉬바,False,A
개쉬발,False,A
개쉬벌,False,A
개시끼,False,A
개시바,False,A
개시발,False,A
개쌍넘,False,A
개쌍년,False,A
개쌍놈,False,A
개쌍뇬,False,A
개쌔,False,A
개쌕기,False,A
개썌끼,False,A
개쎄끼야,False,A
개쒜리,False,A
개쓉,False,A
개쓰래기,False,A
개씁,False,A
개씨바,False,A
개씨블,False,A
개씨뻘,False,A
개씹,False,A
개씹세,False,A
개자석,False,A
개자쉭,False,A
개자슥,False,A
개자씩,False,A
개자쥐,False,A
개젓,False,A
개젗,False,A
개졋,False,A
개졎,False,A
개조옷,False,A
개족,False,A
개좇,False,A
개호러,False,A
걸래가튼뇬,False,A
걸래같은년,False,A
걸래년,False,A
게가튼,False,A
게같은,False,A
게넘,False,A
게년,False,A
게놈,False,A
게뇬,False,A
게눔,False,A
게늠,False,A
게늠아,False,A
게보쥐,False,A
게보지,False,A
게부럴,False,A
게새기,False,A
게새끼,False,A
게색,False,A
게세,False,A
게섹,False,A
게쉐리,False,A
게쉐이,False,A
게쉑,False,A
게쉬키,False,A
게시끼,False,A
게쎄기,False,A
게쎄끼,False,A
게자쉭,False,A
게자슥,False,A
게자식,False,A
게자쥐,False,A
게자지,False,A
게젓,False,A
게좆,False,A
게지뢀,False,A
계색갸,False,A
계세키,False,A
궤색,False,A
궤섹,False,A
궤시끼,False,A
궤자지,False,A
깨쌔끼,False,A
뉘미쉬벌,False,A
늬음마,False,A
니뮈쒸발,False,A
니미밑구녕,False,A
니미쉬벌,False,A
니미쒸발,False,A
니미쒸블,False,A
니미좃,False,A
니보지,False,A
니보지구멍,False,A
니뽕좃이다,False,A
니어미배째,False,A
니자지,False,A
니조지다,False,A
니좃대로,False,A
니죠때,False,A
닝기미씹,False,A
닝기미좃,False,A
대갈빡,False,A
대갈통,False,A
대저라,False,A
데갈,False,A
데구빡,False,A
말버지,False,A
말좆,False,A
뮈칀세끼,False,A
뮈칀세리,False,A
뮈칀세이,False,A
뮈칀섹끼,False,A
뮈친세리,False,A
뮈친세이,False,A
뮈친섹끼,False,A
뮈친쉑이,False,A
미친,False,A
미친새끼,False,A
미췬,False,A
미췬세끼,False,A
미칀,False,A
미친개새끼,False,A
미친개색기,False,A
미친개쉑,False,A
미친쌍년,False,A
미친싸앙년,False,A
미친싸앙놈,False,A
미친쌍농,False,A
미친쌍뇽,False,A
미친썅년,False,A
미친썅놈,False,A
미친씹쌔,False,A
미친씹쌔끼,False,A
미친씹쎄끼,False,A
미친좃대가리,False,A
미튄,False,A
미티넘,False,A
미틴,False,A
밑구녕,False,A
밑구멍,False,A
뱅신시키,False,A
버쥐,False,A
버즤,False,A
버지물,False,A
벼엉시나,False,A
벼엉시이,False,A
벼잉신,False,A
병쉬,False,A
병신새,False,A
병신새끼,False,A
병신색기,False,A
병신쉐리,False,A
병신쉐이,False,A
병어신,False,A
병엉신,False,A
보즤,False,A
보지,False,A
보지구녕,False,A
보지뇬,False,A
보짓년,False,A
보짓물,False,A
보짖물,False,A
보털,False,A
봉신,False,A
뵝신,False,A
부뢀,False,A
붕뛴,False,A
붕싄,False,A
뷩쉬,False,A
뷩싄,False,A
븅신새끼,False,A
븅신색끼,False,A
븅신색히,False,A
븅신섹히,False,A
빙신쉐리,False,A
빙신쉐이,False,A
빽자지,False,A
뻨유,False,A
뻨큐,False,A
뽈로노,False,A
뿌랄,False,A
뿔알,False,A
사앙년,False,A
삭바가지,False,A
삭박아지,False,A
상놈쉑,False,A
상뇬,False,A
상늠쉑,False,A
샙때끼,False,A
샤앙녀,False,A
샤앙년,False,A
샤앙놈,False,A
샹논,False,A
샹놈,False,A
쉬부랄,False,A
시벌존나,False,A
시벌좃나,False,A
시부랄넘,False,A
